Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
20.9,50.0,5.0,5.0,7.0,3.0,5.0,1,0,1.41,13.0
8.78,50.0,3.0,3.0,3.0,8.0,4.5,1,1,0.67,15.0
14.4,66.0,4.0,4.0,4.0,5.0,4.2,1,0,0.65,8.0
3.25,40.0,4.0,3.0,3.0,2.5,3.5,1,1,0.3,15.0
15.5,55.0,6.0,4.0,5.0,8.0,5.0,1,0,0.99,9.0
16.0,45.0,6.0,5.0,6.0,10.0,4.8,1,1,0.99,9.0
6.9,103.0,5.0,6.0,4.0,4.0,5.0,1,1,0.71,8.0
5.5,40.0,3.0,4.0,4.0,6.0,5.0,1,1,0.25,16.0
3.65,34.0,3.0,4.0,5.0,2.5,4.0,1,1,0.3,15.0
5.2,77.0,3.0,2.0,2.0,6.0,5.0,1,1,0.16,34.0
7.25,90.0,4.0,4.0,3.0,7.5,5.5,1,1,0.06,5.0
5.4,36.0,3.0,4.0,5.0,3.5,3.5,1,1,0.22,13.0
4.4,50.0,2.0,2.0,2.0,3.0,5.0,1,0,0.16,34.0
7.5,35.0,4.0,3.0,5.0,3.5,3.3,1,1,0.31,10.0
7.5,80.0,7.0,7.0,3.0,10.0,6.3,1,0,0.16,34.0
11.9,34.0,4.0,6.0,7.0,6.0,4.0,1,1,0.33,8.0
8.0,45.0,4.0,5.0,7.0,3.0,3.0,1,1,0.31,10.0
3.65,100.0,4.0,4.0,2.0,5.5,5.0,1,1,0.06,5.0
7.99,68.0,5.0,5.0,4.0,6.0,4.5,1,0,0.16,34.0
3.8,83.0,3.0,2.0,2.0,8.0,5.0,1,1,0.12,7.0
6.2,38.0,6.0,4.0,5.0,3.0,4.64,1,1,0.33,8.0
11.8,34.0,4.0,6.0,6.0,5.0,3.42,1,1,0.31,10.0
6.79,56.25,3.0,4.0,4.0,2.8,3.75,1,1,0.13,24.0
7.79,120.0,5.0,6.0,4.0,10.0,5.0,1,1,0.52,10.0
7.25,84.5,4.0,4.0,3.0,7.5,4.5,1,1,0.06,5.0
13.4,45.0,3.0,5.0,7.0,5.0,4.0,1,1,0.22,13.0
10.5,75.0,2.0,1.0,2.0,5.5,5.5,1,0,0.1,4.0
4.15,125.0,2.0,1.0,1.0,5.0,5.0,1,1,0.12,7.0
8.5,60.0,4.0,3.0,3.0,3.0,5.0,1,1,1.41,13.0
5.38,18.0,3.0,3.0,5.0,3.0,3.5,1,1,1.46,15.0
8.8,49.0,6.0,4.0,4.0,3.0,4.0,1,1,0.22,13.0
6.05,35.0,3.0,4.0,5.0,3.0,3.5,1,0,0.3,15.0
5.9,30.0,4.0,3.0,5.0,2.7,3.35,1,0,0.33,8.0
5.0,37.0,3.0,4.0,5.0,3.0,4.0,1,0,0.3,15.0
5.8,45.0,2.0,2.0,2.0,3.0,4.1,1,1,0.28,10.0
7.15,39.0,3.0,4.0,5.0,2.5,5.0,1,1,0.29,13.0
15.2,52.0,4.0,4.0,5.0,7.0,4.5,1,1,1.46,15.0
5.0,37.9,3.0,3.0,5.0,2.0,5.0,0,0,0.22,13.0
6.98,45.0,4.0,3.0,3.0,6.0,6.5,0,1,0.67,15.0
8.5,56.0,4.0,3.0,3.0,6.0,4.0,1,0,2.33,10.0
10.5,52.0,4.0,5.0,6.0,4.5,4.0,1,1,0.22,13.0
11.5,64.0,2.0,1.0,1.0,8.0,3.2,1,1,1.3,10.0
15.5,50.0,5.0,4.0,7.0,3.0,4.1,1,1,1.7,17.0
2.86,72.0,3.0,2.0,2.0,4.0,3.6,1,1,0.07,7.0
3.35,35.6,2.0,1.0,2.0,6.0,4.0,1,1,0.21,11.0
4.8,59.0,3.0,3.0,2.0,5.5,4.0,1,1,0.19,10.0
10.8,36.0,4.0,5.0,5.0,5.0,4.0,1,1,1.46,15.0
5.9,48.0,4.0,3.0,4.0,3.0,4.0,1,1,0.22,13.0
